B1,B2,B3,B4,B5,水温,DO,source
1.991222229359575,3.312413879524695,6.881238350487789,4.786863150234261,0.5784330551004735,23.6,5.94,0
3.5201184552883644,4.938840787874257,6.184038824764214,5.91934298516322,0.5573452559334915,17.4,6.06,0
3.2815452846464277,4.9377638226041975,7.118626581461373,6.677500698167562,1.2981740985391172,17.7,7.11,0
1.9167446662650296,3.131819084719617,6.483966512616554,4.58798556333277,0.8711331122710224,23.6,5.94,0
3.79575,4.354,6.202,3.672,1.67275,16.8,8.93,1
2.88825,3.79575,5.83625,4.60425,3.452,20.6,7.52,1
2.466257641181125,3.496851197656813,4.837917033181062,4.9765041115477935,1.1758139869370612,17.2,5.81,0
4.196088091876871,6.528782925647994,10.37446623914545,8.97910632550295,5.23963877689913,25.7,5.76,0
7.06275,7.56875,10.90175,8.4735,5.96825,28.6,7.4,1
5.17075,7.09025,11.14375,8.985,6.763,31.1,5.87,1
2.957,3.54,5.8225,4.255,3.74625,21.2,10.5,1
4.4145,5.17075,7.49725,5.2175,2.9515,19.1,5.62,1
2.0406977121161973,3.292872828220531,6.892887846009748,4.763385373320598,1.8566088499276945,22.6,6.97,0
2.2538850202070053,3.6273474422055823,4.601844908054313,2.296766466296595,0.0057218847795702,16.6,9.12,0
6.72725,7.885,10.756,9.32875,3.375,20.7,7.66,1
3.5730419350666502,5.086573612379902,7.355711007608498,6.610960641719194,3.77787447286469,26.2,4.88,0
1.798937432187202,3.2007116348681315,5.09863667277223,4.756763504670139,0.4689704517099916,17.4,7.73,0
9.03525871879706,11.607450912497498,15.565340925869986,16.640076489774536,6.620985310064802,23.4,4.17,0
2.371714241046694,3.77333713452462,5.810585979586689,5.388271361240669,0.7433877438473865,17.2,7.88,0
3.0725,4.167,6.81525,4.7225,3.17425,24.4,7.2,1
2.1095202860018465,3.424814044252887,7.002320760070597,5.079421813271652,1.8344039364116893,22.6,11.07,0
3.3255,4.772,8.006,6.32575,3.85075,21.4,5.6,1
4.99475,5.41275,7.753,5.75925,3.122,25.1,7.68,1
7.866672532183368,8.761455916706803,10.008627236306731,8.489789218747081,4.084179320532393,13.6,7.61,0
