SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,Ë®ÎÂ,ÈÜ½âÑõ
3.7734786971476924,5.771551004378896,10.270539532769874,9.297670405768171,4.076101303070908,26.1,3.56
3.7107795501400416,5.816900445174402,10.320257110192099,9.29891693245039,3.7334525177622195,26.1,3.56
3.793005553899914,5.826238124474861,10.16658215542879,9.153140163343904,3.637972049419771,26.1,3.56
3.5059232992788125,5.627798438906636,9.984367612458142,8.794294015601087,2.925932241694518,26.1,3.56
3.638259160046293,5.7384110262281,10.164024217814857,8.828593167706787,2.798330609864316,26.1,3.56
3.4000711763145253,5.5490619687538505,9.88865931349434,8.642515587719547,2.5580560708223117,26.1,3.56
3.397427972632359,5.5323878562680315,10.095926689852414,8.748870903301453,2.818633862723151,26.1,3.56
3.3702411166514494,5.412250972014192,9.719822456859383,8.536767993065867,2.554156394374584,26.1,3.56
3.5999636492691454,5.64511861406939,10.411204542230566,9.107809067891425,2.9800877712167604,26.1,3.56
3.886226729828387,5.858151053199937,10.319571355118814,9.265517986662626,4.128033604669437,26.1,3.56
3.982764199202454,6.519709059668453,12.015430198722216,9.983758029200562,4.47868746386097,26.6,5.52
4.081605885574447,6.688628802660336,12.17986043002069,10.147689712708868,3.979066664931356,26.6,5.52
4.126267026914979,6.670538003374388,12.081480662331927,10.12574154896757,4.036592125409884,26.6,5.52
4.221361982230865,6.784598927410833,12.142108699805952,10.150328126356577,3.3158375247144085,26.6,5.52
3.9789126061898057,6.578408940274027,11.978354154041147,9.92781806022602,4.397309517086764,26.6,5.52
3.959165858884668,6.515590428941934,11.739520865298639,9.774007875905108,4.1079021860199925,26.6,5.52
4.119884400167232,6.645922783595277,11.986970840001412,9.942257914559383,3.9253054996986467,26.6,5.52
4.195857977894256,6.770623052758096,12.044829141033771,10.073027195651745,3.788425838313887,26.6,5.52
4.129579533341612,6.645398254161455,11.728088933071769,9.897522460916981,3.869170201554925,26.6,5.52
4.10495936356538,6.745954984406579,11.963944152245258,9.976392377379721,3.6753194558708073,26.6,5.52
